Temps	Intensity_0
5605	37254.1
5610	37296.8
5615	37339.5
5620	37380.2
5625	37420.9
5630	37461.7
5635	37502.4
5640	37511.2
5645	37520.1
5650	37517.3
5655	37446.9
5660	37359
5665	37271
5670	37205.3
5675	37139.5
5680	37073.7
5685	37007.9
5690	36942.2
5695	36876.4
5700	36810.6
5705	36744.9
5710	36679.1
5715	36704.3
5720	36795.3
5725	36886.2
5730	37047.4
5735	37208.5
5740	37369.6
5745	37540.5
5750	37757.5
5755	37976.4
5760	38195.4
5765	38414.3
5770	38643.5
5775	38872.7
5780	39015.7
5785	39158.6
5790	39301.5
5795	39374.3
5800	39447.1
5805	39622.1
5810	39784.5
5815	39896.4
5820	40006.2
5825	40037.7
5830	40069.1
5835	40090.4
5840	40111.6
5845	40128.1
5850	40144.6
5855	40161.1
5860	40177.6
5865	40194.1
5870	40108.4
5875	40025.5
5880	39947.1
5885	39890.2
5890	39911.7
5895	39933.2
5900	39954.7
5905	39976.1
5910	39997.6
5915	40019.1
5920	40090.5
5925	40171.7
5930	40255.1
5935	40338.5
5940	40421.9
5945	40505.3
5950	40567.1
5955	40629
5960	40690.9
5965	40752.8
5970	40814.7
5975	40876.6
5980	40938.5
5985	40993.5
5990	41038.7
5995	41081.8
6000	41124.9
6005	41175.2
6010	41234.5
6015	41293.9
6020	41353.2
6025	41412.5
6030	41482.6
6035	41549.1
6040	41615.5
6045	41682
6050	41705.4
6055	41728.9
6060	41752.3
6065	41775.7
6070	41791.8
6075	41799
6080	41806.2
6085	41598.1
6090	41390.1
6095	41171.3
6100	40956
6105	40740.8
6110	40525.6
6115	40310.3
6120	40095.1
6125	39879.9
6130	39664.6
6135	39449.4
6140	39234.2
6145	39279.3
6150	39539.6
6155	39799.9
6160	40060.2
6165	40320.5
6170	40580.8
6175	40858.2
6180	41135.6
6185	41402.4
6190	41669.2
6195	41899.3
6200	42129.3
6205	42359.4
6210	42329.2
6215	42299
6220	42265.5
6225	42232
6230	42181.6
6235	42131.2
6240	42063.7
6245	41996.2
6250	41939.3
6255	41882.4
6260	41862.2
6265	41842
6270	41821.8
6275	41801.7
6280	41781.5
6285	41744.5
6290	41707.5
6295	41687.3
6300	41667.2
6305	41647.1
6310	41627
6315	41606.9
6320	41586.8
6325	41566.7
6330	41546.6
6335	41526.5
6340	41506.4
6345	41487.9
6350	41444.2
6355	41385.2
6360	41326.2
6365	41267.2
6370	41208.3
6375	41149.3
6380	41090.3
6385	41031.4
6390	40972.4
6395	40913.4
6400	40854.4
6405	40785.5
6410	40715
6415	40689.9
6420	40679.9
6425	40645.9
6430	40609.1
6435	40568.6
6440	40528
6445	40487.4
6450	40446.9
6455	40406.3
6460	40365.8
6465	40325.2
6470	40294.6
6475	40263.9
6480	40233.3
6485	40202.7
6490	40196.1
6495	40246.8
6500	40301.2
6505	40355.6
6510	40409.9
6515	40464.3
6520	40518.7
6525	40573.1
6530	40684.6
6535	40796.1
6540	40907.5
6545	41019
6550	41130.5
6555	41242
6560	41299
6565	41356.1
6570	41438.9
6575	41521.6
6580	41603.7
6585	41685.8
6590	41726.7
6595	41710.5
6600	41694.3
6605	41674.5
6610	41617.2
6615	41560
6620	41502.7
6625	41445.5
6630	41388.3
6635	41287.6
6640	41186.9
6645	41086.9
6650	40986.9
6655	40928.1
6660	40869.3
6665	40810.4
6670	40755.2
6675	40737.4
6680	40719.7
6685	40701.9
6690	40684.1
6695	40673.7
6700	40681
6705	40688.3
6710	40602.5
6715	40516.8
6720	40431.1
6725	40345.3
6730	40259.6
6735	40173.8
6740	40088.1
6745	40002.4
6750	39916.6
6755	39830.9
6760	39737.8
6765	39644.8
6770	39594.1
6775	39636.5
6780	39678.9
6785	39721.3
6790	39746.3
6795	39771.3
6800	39796.3
6805	39799.4
6810	39802.4
6815	39805.4
6820	39808.5
6825	39811.5
6830	39814.5
6835	39775.2
6840	39735.8
6845	39656.6
6850	39577.3
6855	39515.5
6860	39453.6
6865	39391.7
6870	39351.8
6875	39311.9
6880	39272.1
6885	39210.2
6890	39148.4
6895	39086.5
6900	39024.7
6905	38916.1
6910	38847.3
6915	38778.6
6920	38709.9
6925	38641.2
6930	38572.5
6935	38503.8
6940	38435.1
6945	38319.1
6950	38225.2
6955	38131.2
6960	38037.2
6965	37923.6
6970	37856.6
6975	37789.7
6980	37722.7
6985	37632.1
6990	37541.5
6995	37434
7000	37326.4
7005	37218.8
7010	37158.4
7015	37098
7020	37037.7
7025	36977.3
7030	36936.6
7035	36896
7040	36855.3
7045	36814.7
7050	36797.7
7055	36840.3
7060	36936.2
7065	37032.1
7070	37097.7
7075	37163.3
7080	37228.9
7085	37294.4
7090	37360
7095	37425.6
7100	37491.2
7105	37556.7
7110	37622.3
7115	37687.9
7120	37693.9
7125	37663.6
7130	37710.5
7135	37787.7
7140	37865
7145	37958.2
7150	38051.5
7155	38144.7
7160	38238
7165	38331.2
7170	38426.8
7175	38522.4
7180	38618
7185	38713.6
7190	38812.9
7195	38835
7200	38857.2
7205	38861.2
7210	38849.2
7215	38837.2
7220	38825.2
7225	38813.2
7230	38801.2
7235	38786.9
7240	38772.6
7245	38758.3
7250	38744
7255	38725.9
7260	38707.8
7265	38700.2
7270	38710.7
7275	38724.5
7280	38738.2
7285	38752
7290	38765.8
7295	38779.5
7300	38793.3
7305	38807
7310	38820.8
7315	38834.6
7320	38799.7
7325	38764.9
7330	38719.6
7335	38674.2
7340	38625.7
7345	38577.1
7350	38528.5
7355	38479.9
7360	38431.3
7365	38382.7
7370	38334.1
7375	38285.5
7380	38262
7385	38287.2
7390	38347
7395	38389.5
7400	38431.9
7405	38474.4
7410	38516.9
7415	38559.3
7420	38601.8
7425	38644.3
7430	38686.7
7435	38729.2
7440	38771.7
7445	38789
7450	38766.9
7455	38710.1
7460	38670.6
7465	38631.1
7470	38591.6
7475	38552.2
7480	38512.7
7485	38473.2
7490	38433.7
7495	38394.2
7500	38354.8
7505	38315.3
7510	38311.1
7515	38346.5
7520	38381.8
7525	38438.4
7530	38495
7535	38551.7
7540	38608.3
7545	38664.9
7550	38737.9
7555	38810.9
7560	38883.9
7565	38956.9
7570	39025.7
7575	39059.2
7580	39085.9
7585	39103.1
7590	39084.4
7595	39065.7
7600	39029.6
7605	38993.5
7610	38957.4
7615	38905
7620	38852.5
7625	38800
7630	38696.4
7635	38586.2
7640	38449.7
7645	38320
7650	38199.9
7655	38067.3
7660	37934.7
7665	37819.5
7670	37704.2
7675	37570.6
7680	37437
7685	37303.3
7690	37169.7
7695	37087.3
7700	37015.5
7705	36970.1
7710	36924.6
7715	36879.2
7720	36860.8
7725	36842.4
7730	36823.9
7735	36839
7740	36872.5
7745	36905.9
7750	36939.4
7755	36972.9
7760	37017.3
7765	37061.8
7770	37106.2
7775	37155.2
7780	37204.2
7785	37253.2
7790	37302.2
7795	37351.2
7800	37366.7
7805	37382.2
7810	37414.2
7815	37459.1
7820	37504
7825	37537.9
7830	37596.5
7835	37643.9
7840	37667.7
7845	37691.4
7850	37715.2
7855	37739
7860	37762.7
7865	37786.5
7870	37810.3
7875	37817.6
7880	37812
7885	37806.4
7890	37785.3
7895	37733.4
7900	37692.7
7905	37671.1
7910	37649.5
7915	37627.9
7920	37606.2
7925	37584.6
7930	37563
7935	37512.3
7940	37446.1
7945	37379.9
7950	37313.7
7955	37263.1
7960	37202.2
7965	37141.2
7970	37080.3
7975	37019.3
7980	36956.7
7985	36894.1
7990	36815.8
7995	36737.5
8000	36688.4
8005	36654.7
8010	36621
8015	36587.3
8020	36553.6
8025	36536.2
8030	36518.9
8035	36501.6
8040	36484.2
8045	36468.5
8050	36458.9
8055	36465
8060	36471.1
8065	36457.5
8070	36443.9
8075	36430.3
8080	36416.6
8085	36382.6
8090	36348.6
8095	36314.5
8100	36280.5
8105	36246.4
8110	36212.4
8115	36147.4
8120	36082.5
8125	36017.5
8130	35969.7
8135	35921.9
8140	35874.2
8145	35826.4
8150	35799.1
8155	35770.3
8160	35741.5
8165	35712.7
8170	35611.7
8175	35510.6
8180	35434.4
8185	35358.3
8190	35282.1
8195	35208.4
8200	35134.7
8205	35061
8210	34987.3
8215	34913.6
8220	34841.3
8225	34769
8230	34756.1
8235	34820.5
8240	34885
8245	34949.4
8250	35013.9
8255	35078.3
8260	35142.8
8265	35259.1
8270	35375.4
8275	35491.7
8280	35608
8285	35724.3
8290	35840.6
8295	35899.6
8300	35953.3
8305	36007.1
8310	36060.9
8315	36154.5
8320	36248.1
8325	36341.8
8330	36383.6
8335	36425.3
8340	36467.1
8345	36508.9
8350	36550.7
8355	36592.5
8360	36682.1
8365	36743.4
8370	36804.8
8375	36866.2
8380	36858.3
8385	36850.4
8390	36842.5
8395	36834.5
8400	36826.6
8405	36818.7
8410	36810.8
8415	36802.9
8420	36795
8425	36737.3
8430	36707.8
8435	36678.4
8440	36664.4
8445	36679.9
8450	36695.4
8455	36710.8
8460	36726.3
8465	36741.8
8470	36757.3
8475	36772.7
8480	36788.2
8485	36810.1
8490	36805.1
8495	36800.2
8500	36795.2
8505	36774.8
8510	36754.4
8515	36734
8520	36713.5
8525	36693.1
8530	36672.7
8535	36652.3
8540	36631.9
8545	36611.4
8550	36598.7
8555	36612.8
8560	36626.9
8565	36641.1
8570	36655.2
8575	36669.3
8580	36683.4
8585	36746.5
8590	36820.6
8595	36894.7
8600	36968.8
8605	37042.9
8610	37117
8615	37180.7
8620	37244.4
8625	37308.1
8630	37371.8
8635	37401.1
8640	37430.4
8645	37459.8
8650	37440.1
8655	37409.5
8660	37378.8
8665	37348.1
8670	37317.5
8675	37286.8
8680	37252.5
8685	37218.1
8690	37183.7
8695	37209.1
8700	37268.9
8705	37295
8710	37321.1
8715	37347.2
8720	37373.3
8725	37399.4
8730	37425.5
8735	37428.3
8740	37431
8745	37433.8
8750	37436.6
8755	37439.3
8760	37382.3
8765	37325.3
8770	37256.1
8775	37186.9
8780	37117.8
8785	37048.6
8790	36979.4
8795	36910.2
8800	36864.4
8805	36818.5
8810	36772.7
8815	36726.8
8820	36681
8825	36635.1
8830	36618.8
8835	36579.3
8840	36539.8
8845	36500.2
8850	36460.7
8855	36421.1
8860	36381.6
8865	36342.1
8870	36302.5
8875	36263
8880	36223.4
8885	36183.9
8890	36144.4
8895	36146.6
8900	36217.9
8905	36289.2
8910	36360.5
8915	36432.9
8920	36486
8925	36532.5
8930	36579
8935	36625.5
8940	36671.9
8945	36675.5
8950	36679.1
8955	36682.7
8960	36615
8965	36547.3
8970	36479.6
8975	36411.9
8980	36343
8985	36293.6
8990	36250.7
8995	36207.8
9000	36164.9
9005	36148.7
9010	36154.7
9015	36152.7
9020	36150.7
9025	36148.7
9030	36146.7
9035	36129.3
9040	36112
9045	36094.7
9050	36077.3
9055	35980.7
9060	35884
